X,Y,OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Recovered,Deaths,Active,Admin2,FIPS,Combined_Key
131.43324,33.200697,327,Oita,Japan,2020/09/05 09:28:32+00,33.200697,131.43324,157,135,2,20,,,"Oita, Japan"
133.826252,34.89246,328,Okayama,Japan,2020/09/05 09:28:32+00,34.89246,133.826252,146,141,1,4,,,"Okayama, Japan"
126.668016,25.768923,329,Okinawa,Japan,2020/09/05 09:28:32+00,25.768923,126.668016,2229,1774,31,424,,,"Okinawa, Japan"
135.507481,34.620965,330,Osaka,Japan,2020/09/05 09:28:32+00,34.620965,135.507481,8902,7706,161,1035,,,"Osaka, Japan"
,,331,Port Quarantine,Japan,2020/09/05 09:28:32+00,,,817,514,1,302,,,"Port Quarantine, Japan"
130.115738,33.286977,332,Saga,Japan,2020/09/05 09:28:32+00,33.286977,130.115738,238,223,0,15,,,"Saga, Japan"
139.347635,35.997101,333,Saitama,Japan,2020/09/05 09:28:32+00,35.997101,139.347635,4106,3434,93,579,,,"Saitama, Japan"
136.138064,35.215827,334,Shiga,Japan,2020/09/05 09:28:32+00,35.215827,136.138064,459,381,7,71,,,"Shiga, Japan"
132.554064,35.07076,335,Shimane,Japan,2020/09/05 09:28:32+00,35.07076,132.554064,137,136,0,1,,,"Shimane, Japan"
138.407784,34.916975,336,Shizuoka,Japan,2020/09/05 09:28:32+00,34.916975,138.407784,494,447,1,46,,,"Shizuoka, Japan"
139.819213,36.689912,337,Tochigi,Japan,2020/09/05 09:28:32+00,36.689912,139.819213,309,288,1,20,,,"Tochigi, Japan"
134.242091,33.919178,338,Tokushima,Japan,2020/09/05 09:28:32+00,33.919178,134.242091,145,70,4,71,,,"Tokushima, Japan"
139.446921,35.711343,339,Tokyo,Japan,2020/09/05 09:28:32+00,35.711343,139.446921,21666,18487,369,2810,,,"Tokyo, Japan"
133.863619,35.359069,340,Tottori,Japan,2020/09/05 09:28:32+00,35.359069,133.863619,22,22,0,0,,,"Tottori, Japan"
137.269346,36.637464,341,Toyama,Japan,2020/09/05 09:28:32+00,36.637464,137.269346,402,318,25,59,,,"Toyama, Japan"
,,342,Unknown,Japan,2020/09/05 09:28:32+00,,,8,8,0,0,,,"Unknown, Japan"
135.505446,33.911879,343,Wakayama,Japan,2020/09/05 09:28:32+00,33.911879,135.505446,232,221,5,6,,,"Wakayama, Japan"
140.102154,38.448396,344,Yamagata,Japan,2020/09/05 09:28:32+00,38.448396,140.102154,78,76,1,1,,,"Yamagata, Japan"
131.573293,34.20119,345,Yamaguchi,Japan,2020/09/05 09:28:32+00,34.20119,131.573293,181,103,0,78,,,"Yamaguchi, Japan"
138.611489,35.612364,346,Yamanashi,Japan,2020/09/05 09:28:32+00,35.612364,138.611489,180,157,5,18,,,"Yamanashi, Japan"
36.51,31.24,347,,Jordan,2020/09/05 09:28:32+00,31.24,36.51,2301,1676,16,609,,,Jordan
66.9237,48.0196,348,,Kazakhstan,2020/09/05 09:28:32+00,48.0196,66.9237,106225,99018,1588,5619,,,Kazakhstan
37.9062,-0.0236,349,,Kenya,2020/09/05 09:28:32+00,-0.0236,37.9062,34884,21059,589,13236,,,Kenya
127.766922,35.907757,350,,"Korea, South",2020/09/05 09:28:32+00,35.907757,127.766922,21010,16009,333,4668,,,"Korea, South"
20.902977,42.602636,351,,Kosovo,2020/09/05 09:28:32+00,42.602636,20.902977,12683,8788,488,3407,,,Kosovo
47.481766,29.31166,352,,Kuwait,2020/09/05 09:28:32+00,29.31166,47.481766,88243,79417,537,8289,,,Kuwait
74.766098,41.20438,353,,Kyrgyzstan,2020/09/05 09:28:32+00,41.20438,74.766098,44293,39599,1060,3634,,,Kyrgyzstan
102.495496,19.85627,354,,Laos,2020/09/05 09:28:32+00,19.85627,102.495496,22,21,0,1,,,Laos
24.6032,56.8796,355,,Latvia,2020/09/05 09:28:32+00,56.8796,24.6032,1425,1187,35,203,,,Latvia
35.8623,33.8547,356,,Lebanon,2020/09/05 09:28:32+00,33.8547,35.8623,19490,5592,183,13715,,,Lebanon
28.2336,-29.61,357,,Lesotho,2020/09/05 09:28:32+00,-29.61,28.2336,1148,528,31,589,,,Lesotho
-9.429499,6.428055,358,,Liberia,2020/09/05 09:28:32+00,6.428055,-9.429499,1306,1163,82,61,,,Liberia
17.228331,26.3351,359,,Libya,2020/09/05 09:28:32+00,26.3351,17.228331,16445,1910,262,14273,,,Libya
9.55,47.14,360,,Liechtenstein,2020/09/05 09:28:32+00,47.14,9.55,107,97,1,9,,,Liechtenstein
23.8813,55.1694,361,,Lithuania,2020/09/05 09:28:32+00,55.1694,23.8813,3004,1920,86,998,,,Lithuania
6.1296,49.8153,362,,Luxembourg,2020/09/05 09:28:32+00,49.8153,6.1296,6854,6126,124,604,,,Luxembourg
,,363,,MS Zaandam,2020/09/05 09:28:32+00,,,9,0,2,7,,,MS Zaandam
46.869107,-18.766947,364,,Madagascar,2020/09/05 09:28:32+00,-18.766947,46.869107,15187,14075,198,914,,,Madagascar
34.3015,-13.2543,365,,Malawi,2020/09/05 09:28:32+00,-13.2543,34.3015,5608,3533,175,1900,,,Malawi
101.975766,4.210484,366,,Malaysia,2020/09/05 09:28:32+00,4.210484,101.975766,9391,9113,128,150,,,Malaysia
73.2207,3.2028,367,,Maldives,2020/09/05 09:28:32+00,3.2028,73.2207,8361,5642,29,2690,,,Maldives
-3.996166,17.570692,368,,Mali,2020/09/05 09:28:32+00,17.570692,-3.996166,2814,2220,126,468,,,Mali
14.3754,35.9375,369,,Malta,2020/09/05 09:28:32+00,35.9375,14.3754,1984,1565,13,406,,,Malta
-10.9408,21.0079,370,,Mauritania,2020/09/05 09:28:32+00,21.0079,-10.9408,7126,6623,160,343,,,Mauritania
57.552152,-20.348404,371,,Mauritius,2020/09/05 09:28:32+00,-20.348404,57.552152,356,335,10,11,,,Mauritius
-102.2916,21.8853,372,Aguascalientes,Mexico,2020/09/05 09:28:32+00,21.8853,-102.2916,5862,5020,442,400,,,"Aguascalientes, Mexico"
-115.2838,30.8406,373,Baja California,Mexico,2020/09/05 09:28:32+00,30.8406,-115.2838,17325,13262,3213,850,,,"Baja California, Mexico"
-111.6661,26.0444,374,Baja California Sur,Mexico,2020/09/05 09:28:32+00,26.0444,-111.6661,8099,6680,379,1040,,,"Baja California Sur, Mexico"
-90.5349,19.8301,375,Campeche,Mexico,2020/09/05 09:28:32+00,19.8301,-90.5349,5670,4764,777,129,,,"Campeche, Mexico"
-93.1292,16.7569,376,Chiapas,Mexico,2020/09/05 09:28:32+00,16.7569,-93.1292,6298,5230,1006,62,,,"Chiapas, Mexico"
